KIC TYC ra dec numax sig_numax dnu sig_dnu teff sig_teff logg sig_logg feh sig_feh plx sig_plx btmag sig_btmag vtmag sig_vtmag gmag sig_gmag rmag sig_rmag imag sig_imag zmag sig_zmag jmag sig_jmag hmag sig_hmag kmag sig_kmag clump src
     2865774     3135-435-1   294.23376000    38.08752000  1239.891    70.932    63.533     4.143  5801.0    77.3     4.042     0.025    -0.070     0.101     2.71946293     0.36352268  12.451   0.170  11.660   0.122  11.776   0.020  11.354   0.020  11.238   0.020  11.178   0.020  10.369   0.022  10.070   0.018  10.025   0.019  0  spc
     2970584     3120-648-1   286.03829200    38.16979600    62.967     0.709     6.385     0.015  4613.2    86.0     2.698     0.006    -0.153     0.060     1.56123710     0.25669685  11.800   0.085  10.565   0.048  10.832   0.020   9.980   0.020   9.645   0.020   9.444   0.020   8.373   0.023   7.820   0.027   7.677   0.020 -1  apo
     2973894    3120-1424-1   287.14864700    38.12030000    27.667     1.508     4.041     0.260  4940.7    86.0     2.356     0.024    -0.755     0.060     0.40771928     0.45653644  12.547   0.205  12.006   0.171  12.219   0.020  11.372   0.020  11.114   0.020  10.957   0.020   9.907   0.021   9.469   0.023   9.336   0.017  1  apo
     2975717    3121-1172-1   287.71783500    38.14194100    27.745     0.563     3.401     0.013  4403.8    86.0     2.332     0.010    -0.004     0.060     1.39450538     0.48652652  12.283   0.153  11.026   0.068  11.490   0.020  10.433   0.020  10.062   0.020   9.845   0.020   8.667   0.034   8.026   0.021   7.888   0.018  1  apo
     2987113    3134-2096-1   290.85523800    38.15399600    33.052     1.388     3.867     0.030  4520.1    86.0     2.414     0.019     0.309     0.060     1.38609338     0.62686741  13.041   0.271  11.089   0.071  11.591   0.020  10.500   0.020  10.157   0.020   9.919   0.020   8.789   0.032   8.225   0.023   8.055   0.024  1  apo
     2988638    3134-1316-1   291.20786500    38.12500000    90.800     2.135     7.483     0.017  4932.3    86.0     2.872     0.011     0.043     0.060     1.13528776     0.60788357  13.792   0.409  12.294   0.196  12.849   0.020  12.026   0.020  11.807   0.020  11.592   0.020  10.544   0.022  10.083   0.019   9.945   0.018  1  apo
     2988988      3134-66-1   291.28845900    38.13974800    38.511     0.768     4.302     0.020  4735.5    86.0     2.491     0.010     0.112     0.060     1.02369416     0.30801061  12.789   0.248  11.225   0.085  11.691   0.020  10.758   0.020  10.445   0.020  10.247   0.020   9.159   0.022   8.598   0.021   8.507   0.018  1  apo
     2991448      3134-54-1   291.82489950    38.11319000  1111.248    14.285    61.732     0.157  5635.0    77.3     3.989     0.006    -0.100     0.101     2.21562287     0.96397511  11.651   0.077  10.834   0.064  11.162   0.020  10.671   0.020  10.513   0.020  10.449   0.020   9.602   0.026   9.267   0.032   9.225   0.021  0  spc
     2992350      3134-64-1   292.02215400    38.10410300    45.367     0.697     4.757     0.014  4919.0    86.0     2.570     0.008    -0.212     0.060     1.61137712     0.33333486  11.068   0.051   9.865   0.028  10.215   0.020   9.408   0.020   9.165   0.020   9.004   0.020   7.944   0.018   7.501   0.034   7.364   0.020  1  apo
     2995197     3135-260-1   292.64406300    38.17990500     9.860     0.420     1.562     0.018  4256.6    86.0     1.876     0.019     0.028     0.060    -0.13366458     0.52623868  13.470   0.379  11.648   0.129  12.409   0.020  11.151   0.020  10.695   0.020  10.392   0.020   9.160   0.022   8.470   0.024   8.310   0.017 -1  apo
     2998253     3135-119-1   293.29144050    38.10730000  1884.738   223.264    87.227     5.604  6298.0    77.3     4.242     0.052     0.090     0.101     3.61811299     0.31458424  11.288   0.059  10.628   0.047  10.808   0.020  10.491   0.020  10.418   0.020  10.400   0.020   9.655   0.020   9.435   0.020   9.396   0.018  0  spc
     3096473    3120-1332-1   285.37302200    38.21175400    36.897     0.554     4.284     0.015  4596.6    86.0     2.465     0.008    -0.101     0.060     0.20778732     0.28390792  13.466   0.322  12.412   0.192  12.776   0.020  11.780   0.020  11.412   0.020  11.192   0.020  10.074   0.019   9.451   0.021   9.338   0.017 -1  apo
     3098716     3120-996-1   286.18805200    38.29198800    31.269     1.661     4.140     0.067  4902.0    86.0     2.408     0.023    -0.474     0.060     0.59800196     0.30923510  12.326   0.169  11.586   0.121  12.677   0.020  11.877   0.020  11.588   0.020  11.423   0.020  10.388   0.020   9.888   0.020   9.763   0.017  1  apo
     3099949    3120-1580-1   286.62668700    38.25999500    32.985     0.500     4.210     0.036  4924.1    86.0     2.432     0.008    -0.425     0.060     0.58753848     0.33471501  12.941   0.275  11.560   0.117  12.643   0.020  11.851   0.020  11.561   0.020  11.396   0.020  10.324   0.020   9.814   0.020   9.733   0.017  1  apo
     3100193     3120-766-1   286.70462700    38.20620300    30.718     0.589     3.462     0.011  4343.6    86.0     2.374     0.009     0.422     0.060     1.04785037     0.75698411  12.952   0.260  11.547   0.110  12.314   0.020  11.136   0.020  10.718   0.020  10.456   0.020   9.273   0.024   8.648   0.018   8.452   0.018 -1  apo
     3101090    3120-1120-1   287.01555500    38.26919200    32.090     1.218     3.933     0.028  4759.2    86.0     2.412     0.017    -0.076     0.060     0.38887939     0.27007729  12.543   0.199  11.503   0.103  12.149   0.020  11.275   0.020  10.958   0.020  10.781   0.020   9.692   0.021   9.125   0.022   8.998   0.020  1  apo
